Browser,Developer,Engine,Source code,Telemetry,Tracker Blocking    more info,Script blocking,Fingerprinting protection,Disable WebRTC    more info,Availability,Sync,Google services?,Force HTTPS    more info,DoH support,Extension Compatibility,Default Search
Firefox,Mozilla,Gecko,Open source,Yes; opt out,Yes; limited,Javascript only,must be enabled,Yes; must be enabled,Windows; macOS; Linux; Android; iOS,Yes,Location; search,must be enabled,must be enabled,Firefox Add-ons,DuckDuckGo
Brave,Brave Software,Chromium,Open source,Yes; opt-out,Yes; limited,Javascript only,Yes,Only anonymize,Windows; macOS; Linux; Android; iOS,Yes,Proxied with Brave services,Yes,must be enabled,Chromium extensions,Brave Search
Librewolf,Community driven,Gecko,Open source,No,Yes; uBlock Origin,Javascript only,Yes,Yes,Windows; macOS; Linux,No,No,Yes,must be enabled,Firefox add-ons,DuckDuckGo
Ungoogled Chromium,Community driven,Chromium,Open source,No,No,Javascript only,must be enabled,Only anonymize,Windows; macOS; Linux,No,No,Yes,must be enabled,Chromium add-ons,NoSearch
Waterfox,Community driven,Gecko,Open source,No,Yes; uBlock Origin,Javascript only,must be enabled,Yes,Windows; macOS; Linux,No,No,Yes,must be enabled,Firefox add-ons,Bing
Vivaldi,Vivaldi Technologies,Chromium,Part closed; part open source,Yes; limited,Yes,Javascript only,must be enabled,Only anonymize,Windows; macOS; Linux; Android,Yes,Yes some,Yes,must be enabled,Chromium add-ons,Bing
Pale Moon,Moonchild Productions,Goanna,Open source,No,Yes; limited,Javascript only,Yes,Yes; not supported,Windows; Linux,Yes,No,Yes,-,Goanna add-ons,DuckDuckGo
Iridium,NETitwork GmbH,Chromium,Open source,No,No,Javascript only,must be enabled,Only anonymize,Windows; macOS; Linux,No,Safe browsing only,Yes,must be enabled,Chromium extensions - limited,Bing
DuckDuckGo Mobile Browser,DuckDuckGo,WebKit/Blink,Open source,?,Yes,No,No,-,iOS; Android,No,?,Yes,No,-,DuckDuckGo
Firefox Focus,Mozilla,Gecko,Open source,?,Yes,Yes,No,-,iOS; Android,No,Search only,Yes,No,No,DuckDuckGo
GNU Icecat,GNUzilla,Gecko,Open source,No,Yes,Yes,Yes,Yes,Linux,No,No,Yes,?,Firefox add-ons; GNUzilla specific add-ons,?
SnowHaze,Illotros GmbH,WebKit,Open source,No,Yes,Javascript; 3rd party scripts,must be enabled,-,iOS,No,No,must be enabled,must be enabled,No,Google
Falkon,KDE,QT WebEngine/Chromium,Open source,No,Yes,Javascript only,?,?,Linux,No,?,Yes,must be enabled,?,DuckDuckGo
Bromite,Community driven,Blink/Chromium,Open source,No,Yes,Javascript,Yes; must be enabled,Yes,Android,No,No,Yes,must be enabled,Chromium extensions,DuckDuckGo
Min Browser,Community driven,Chromium,Open source,?,Yes,Javascript; 3rd party,?,Only anonymize,Windows; macOS; Linux,No,?,Yes,must be enabled,Chromium extensions,DuckDuckGo
Privacy Browser (Stoutner),Soren Stoutner,Blink,?,?,Yes,Javascript only,must be enabled,?,Android,No,Play services; search,Yes,?,-,?
Epic Browser,Hidden Reflex,Chromium,Part closed; part open source,Yes,Yes,Javascript only,?,Only anonymize,Windows; macOS; Linux; iOS; Android,?,?,Yes,?,Chromium extensions,?
Puma Browser,Puma Technologies,WebKit,Closed source,Yes (anonymized),Yes (limited),?,?,-,iOS,No,Search,Yes,?,-,Google
Insight Browser,Laso Technologies Inc,WebKit,Closed source,Yes (anonymized),Yes,Javascript only,?,?,iOS,No,?,Yes,must be enabled,-,Google
Badwolf,Hacktivis (Ianodan),WebKit,Open source,No,Yes,Javascript only,No,-,Linux,No,No,Yes,?,?,?
Otter Browser,Community driven,QT WebEngine,Open source,No,Yes; limited,Javascript only,?,-,Windows; macOS; Linux,No,No,Yes,must be enabled,?,DuckDuckGo
Avast Secure Browser,Avast Software,Chromium,Part closed; part open source,Yes,Yes (limited),Javascript only,Yes,Only anonymize,Windows; macOS; iOS; Android,No,Yes,Yes,must be enabled,Chromium extensions,Google
Opera,Opera Software,Chromium,Part closed; part open source,Yes,Yes (limited),Javascript only,?,Only anonymize,Windows; macOS; Linux; iOS; Android,Yes,No,Yes,must be enabled,Chromium extensions,?
Firedragon,Community driven,Gecko,Open source,No,Yes; ClearURLS and uBlock Origin,Javascript only,Yes; Canvasblocker,Yes,Linux,No,No,Yes,must be enabled,Firefox add-ons,?
Srware Iron,SrWare,Chromium,Part open source,?,Yes,Javascript only,?,must be disabled,Windows; macOS; Linux; Android,?,?,Yes,must be enabled,Chromium extensions,?
IceRaven,Community driven,Gecko,Open source,?,?,Javascript only,Yes,must be disabled,Android,No,?,Yes,must be enabled,?,DuckDuckGo
Mull Browser,DivestOS,Gecko,Open source,No,?,Javascript only,Yes,must be disabled,Android,No,No,Yes,must be enabled,?,DuckDuckGo
Ghostery Dawn,Ghostery GmbH,Gecko,Open source,?, Yes; Ghostery Ad Blocker,?,must be disabled,Windows; MacOS; Linux,No,?,Yes,must be enabled,Firefox add-ons,Ghostery Glow  
Kiwi Browser,Geometry OU,Chromium,Open source,?,Yes; built-in solution,?,?,must be disabled,Android,No,?,Yes,must be enabled,Chromium Extensions,Google search
